"Description","Reaction","Enzymes","Disease Name"
"""Expression levels of writers, readers and erasers differs between cancer cell lines;  no association of the expression levels of METTL3, YTHDF1, WTAP with overall survival was found; HNRNPA2B1 over-expression is associated with poorer overall survival and promotes endocrine resistance; ""","A:m6A","HNRNPA2B1","Breast cancer"
"""FTO highly expressed in AML t(11q23)/MLL rearrangements, t(15;17)/PML-RARA, FLT3-ITD and/or NPM1 mutations. FTO enhances leukemic oncogene-mediated cell transformation and leukemogenesis, and inhibits all-trans-retinoic acid (ATRA)-induced AML cell differentiation, through regulating expression of targets such as ASB2 and RARA by reducing m6A levels in these mRNA transcripts.""","A:m6A","FTO","Leukemia"
"""m6A level are increased in the breast cancer tissue as compared to normal samples; METTL3 overexpression and promotes translation (overexpression) of Bcl-2""","A:m6A","METTL3","Breast cancer"
"""m6A levels are reduced in breast cancer samples due to a decrease in m6A methylases expression and an increase in  demethylases expression; expression levels of METTL3, METTL14, WTAP and FTO were correlated with poor survival and cancer progression; m6A higher levels suppress cancer cell viability, inhibit MDA-MB-231 colony-formation abilities and cell migratory abilities.Expression levels of writers and readers differes according to the subtype of breast cancer ( luminal A/B vs. triple negative).""","A:m6A","ALKBH5                      FTO                      METTL14                      METTL3                      WTAP","Breast cancer"
"""m6A-related targets were altered at protein level; overexpression of the enzymes was associated with poor prognosis on overal survival; YTHDF3 is considered independent prognosis factor for OS and relapse free survival. ""","A:m6A","VIRMA                      YTHDF1                      YTHDF3","Breast cancer"
"""METTL14 is highly expressed in normal hematopoietic stem/progenitor cells (HSPCs) and acute myeloid leukemia (AML) cells carrying t(11q23), t(15;17), or t(8;21), and is down-regulated during myeloid differentiation. Mechanistically, METTL14 exerts its oncogenic role by regulating its mRNA targets (e.g., MYB and MYC) through m6A modification, which in turn leads to enhanced self-renewal/proliferation of LSCs/LICs and blockage of myeloid differentiation""","A:m6A","METTL14","Leukemia"
"""METTL3 is overexpressed in AML; Depletion of METTL3 induces cell differentiation and apoptosis and delays leukemia progression; m6A promotes translation of c-MYC, BCL2, PTEN mRNAs in AML. m6A depletion may activate the PI3K/AKT pathway.""","A:m6A","METTL3","Leukemia"
"2'-O-methylation of the U6 snRNA is impaired; it might influence RNA structure formation and thus splicing fidelity.","xX:Xm","LARP7","Alazami syndrome"
"2’-O-methylation of tRNAPhe may impact the development.","xX:Xm","FTSJ1","Nonsyndromic X-Linked Intellectual Disability"
"2′-O-Me-regulated translation is important for cellular growth, differentiation, and hematopoietic stem cell maintenance. Aberrant 2'O-Me is induced by mutations in NPM1 observed in patients with dyskeratosis congenita.","xX:Xm","NPM1","Dyskeratosis Congenita"
"5HT2C editing is altered in individuals suffering from psychiatric disorders","A:I","ADARB1","Psychiatric disorders"
"A CNV-containing DNA region (which contains YTHDC2 gene) is found to be associated to pancreatic cancer risk","A:m6A","YTHDC2","Pancreatic cancer"
"A significant reduction in post-transcriptional pseudouridine modification of tRNA in patient cells has occurred.","U:Y","PUS3","Intellectual disability"
"A-to-I RNA editing of the SLC22A3 gene is associated with the reduced SLC22A3 transcription and lymph node metastasis","A:I","ADARB1","Esophageal squamous cell carcinoma"
"ADAR acts as a suppressor of type I interferon signaling","A:I","ADARB1","Aicardi-Goutières syndrome"
"ADAR expression is higher in tumor compared to patient-matched normal breast tissues and cell proliferation is correlated to its activity","A:I","ADARB1","Breast cancer"
"ADAR has an oncogenic potential and the overexpression of the edited NEIL1 can enhance the growth and the invasion in the lung carcinoma","A:I","ADARB1","Lung cancer"
"ADAR2 suppresses tumor growth and induces apoptosis by editing and stabilizing IGFBP7 in ESCC","A:I","ADARB1","Esophageal squamous cell carcinoma"
"ALKBH5 and  NEAT1 are upregulated in gastric cancer. The m6A eraser ALKBH5 downregulates NEAT1 m6A levels.  With decreases in NEAT1 methylation, NEAT1 is upregulated and promotes the malignant phenotype of GC by acting synergistically with EZH2","A:m6A","ALKBH5","Gastric cancer"
"ALKBH5 decreases WIF-1 mRNA m6A levels and thus increases WIF protein levels. The upregulation of WIF-1 inhibits Wnt pathway and its downstream targets, leading to the inhibition of pancreatic tumorigenesis and sensitization to chemotherapy. Thus, the downregulation of ALKBH5 in pancreatic cancer, induces PDAC cell proliferation, migration, invasion, tumorigenesis, and metastasis in vitro and in vivo.","A:m6A","ALKBH5","Pancreatic cancer"
"ALKBH5 is upregulated in the NSCLC tissue and cells. ALKBH5 induces the demethylation of TIMP3 transcript to repress its mRNA stability leading to NSCLC tumor progression","A:m6A","ALKBH5","Non-small cell lung cancer"
"Alu-dependent RNA editing of GLI1 promotes malignant regeneration in myeloma","A:I","ADARB1","Myeloma"
